,ROLES,COMPANIES,LOCATIONS,EXPERIENCE,SKILLS,DATES,PRESENTDATE,SALARY,LINKS,SPECIALITY,DESCRIPTION
452,Developer Others,ITC Infotech India Ltd,Bengaluru,8-10 Yrs,"('IT Skills', 'Java', 'Python', 'Cloud', 'Big Data', 'Jenkins', 'Computer science', 'Process optimization')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-developer-others-itc-infotech-india-ltd-bengaluru-bangalore-8-to-10-years-071120500114?src=jobsearchDesk&sid=16075359922049406&xp=13&px=23,NULL,8 years of Big Data experience with experience in building data processing applications...
453,Developer Others,ITC Infotech India Ltd,Bengaluru,5-9 Yrs,"('IT Skills', 'Python', 'DevOps', 'Jenkins', 'GIT', 'Django', 'Analytical', 'Schema')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-developer-others-itc-infotech-india-ltd-bengaluru-bangalore-5-to-9-years-071120500103?src=jobsearchDesk&sid=16075359922049406&xp=14&px=23,NULL,Strong experience with synchronous and asynchronous interfaces and microservice api dev...
454,Developer Others,ITC Infotech India Ltd,Bengaluru,5-7 Yrs,"('IT Skills', 'Python', 'Power BI', 'GIT', 'SSAS', 'spark', 'SSRS', 'Agile')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-developer-others-itc-infotech-india-ltd-bengaluru-bangalore-5-to-7-years-071120500099?src=jobsearchDesk&sid=16075359922049406&xp=15&px=23,NULL,Exceptional problem solving skills Self-motivated Minimum of 3 years of hands-on BI wor...
455,Senior Full Stack Python Developer,NeenOpal Intelligent Solutions Pvt. Ltd.,Bengaluru,2-7 Yrs,"('IT Skills', 'Python', 'Cloud', 'AWS', 'Azure', 'Supply chain', 'UI development', 'Front end')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-full-stack-python-developer-neenopal-intelligent-solutions-pvt-ltd-bengaluru-bangalore-2-to-7-years-070820500793?src=jobsearchDesk&sid=16075359922049406&xp=16&px=23,NULL,Your responsibilities will include: Playing a key role in our Python projects Design cl...
456,Full Stack Developer,Nimble Wireless Pvt Ltd,Coimbatore,5-10 Yrs,"('Maven & Gradle & Ant tools', 'J2SE & J2EE', 'Spring Framework & Node JS', 'Spring Mvc', 'Relatonal Database & ORM Technologies &SQL', 'JUnit', 'Testng', 'GIT & Bug Tracking Tool')",3 DAYS AGO,2020-12-09,"7,00,000 - 15,00,000 PA.",https://www.naukri.com/job-listings-full-stack-developer-nimble-wireless-pvt-ltd-coimbatore-5-to-10-years-061120002868?src=jobsearchDesk&sid=16075359922049406&xp=17&px=23,NULL,"We are looking for a developer who can design, modify, develop, write and implement RES..."
457,Senior Java Developer,Wavelabs,Hyderabad,6-10 Yrs,"('GIT', 'Linux', 'Coding', 'Enterprise applications', 'Debugging', 'Machine learning', 'Agile', 'Windows')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-java-developer-wavelabs-hyderabad-secunderabad-6-to-10-years-061020500873?src=jobsearchDesk&sid=16075359922049406&xp=18&px=23,NULL,Brief Job Description: Experience working with Spring boot applications Experience in i...
458,Senior Software Engineer,LogicMonitor,Pune,5-10 Yrs,"('IT Skills', 'Java', 'Software Development', 'Testing', 'Selenium', 'Cloud', 'Big Data', 'AWS')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-logicmonitor-pune-5-to-10-years-061020500611?src=jobsearchDesk&sid=16075359922049406&xp=19&px=23,NULL,"Job Description The Senior Software Engineer is responsible for the implementation, des..."
459,Developer Others,ITC Infotech India Ltd.,Bengaluru,2-5 Yrs,"('IT Skills', 'Python', 'DevOps', 'Jenkins', 'GIT', 'Django', 'Analytical', 'Schema')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-developer-others-itc-infotech-india-ltd-bengaluru-bangalore-2-to-5-years-061020500211?src=jobsearchDesk&sid=16075359922049406&xp=20&px=23,NULL,Strong experience with synchronous and asynchronous interfaces and microservice api dev...
460,Developer Others,ITC Infotech India Ltd.,Bengaluru,2-5 Yrs,"('IT Skills', 'Python', 'DevOps', 'Jenkins', 'GIT', 'Django', 'Analytical', 'Schema')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-developer-others-itc-infotech-india-ltd-bengaluru-bangalore-2-to-5-years-061020500205?src=jobsearchDesk&sid=16075361525235510&xp=1&px=24,NULL,Strong experience with synchronous and asynchronous interfaces and microservice api dev...
461,Java Developer (m/f),BAUER Corporate Services Private Limited,Mumbai,4-9 Yrs,"('Administration Manager', 'Tomcat', 'Linux', 'Java J2Ee Developer', 'Debugging', 'Windows', 'JIRA', 'Macros')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-java-developer-m-f-bauer-corporate-services-private-limited-mumbai-4-to-9-years-060820500506?src=jobsearchDesk&sid=16075361525235510&xp=2&px=24,NULL,"Debugging, creating and extending Java code as required to support existing functionali..."
